"SeniorCitizen","tenure","MultipleLines","OnlineSecurity","StreamingTV","StreamingMovies","Contract","PaperlessBilling","MonthlyCharges","numTechTickets"
"1",1,1,1,1,1,"1","1",70,0
"2",8,1,1,1,1,"1","2",74.5,0
"1",10,1,1,1,1,"1","2",44.85,0
"2",24,3,1,1,1,"1","2",76.1,0
"1",35,1,3,1,1,"2","1",61.2,0
"1",23,1,1,1,1,"2","1",86.8,0
"2",6,1,1,3,3,"1","2",89.35,0
"1",12,1,2,2,2,"1","1",19.7,0
"1",1,1,2,2,2,"1","1",20.25,0
"1",71,1,1,1,1,"3","1",76.05,0
"2",35,3,1,3,3,"1","2",100.8,0
"1",40,3,1,3,3,"1","2",74.55,0
"1",1,1,3,1,1,"1","2",73.6,0
"1",23,1,1,3,3,"2","2",64.9,0
"2",4,3,1,3,3,"1","2",95.45,0
"1",4,1,1,1,3,"1","2",90.4,0
"1",68,2,1,3,3,"3","1",60.3,1
"1",38,3,1,1,1,"1","2",81.85,0
"1",52,3,2,2,2,"3","1",24.8,0
"2",32,3,1,1,1,"1","2",74.9,0
"1",29,1,1,3,3,"3","1",75.55,0
"2",38,3,1,3,3,"1","1",101.15,2
"1",48,3,3,3,3,"2","2",78.75,0
"1",1,1,2,2,2,"1","2",19.25,0
"1",22,1,3,1,3,"1","2",89.05,0
"1",43,3,3,3,3,"3","1",115.05,0
"2",5,1,1,1,1,"1","2",69.35,0
"1",5,1,1,3,1,"1","2",80.6,0
"1",51,3,3,3,3,"2","1",110.05,0
"1",71,1,2,2,2,"3","2",19.9,0
"1",38,1,3,3,3,"2","1",80.3,3
"2",24,1,1,3,3,"1","2",93.15,2
"1",35,3,1,3,1,"1","2",91.5,0
"2",54,3,3,3,3,"2","1",82.45,5
"1",72,2,1,3,3,"3","2",60,0
"1",1,1,1,1,1,"1","2",44.8,0
"1",9,1,3,1,1,"2","1",48.6,0
"1",69,2,3,3,3,"3","2",60.05,0
"1",52,3,1,3,3,"1","2",102.7,0
"2",11,1,1,3,1,"1","2",82.9,0
"2",2,1,1,1,1,"1","2",70.35,0
"2",28,2,1,3,1,"1","2",35.9,0
"2",17,3,1,1,1,"1","2",82.65,0
"1",35,1,2,2,2,"3","2",19.85,0
"1",8,1,2,2,2,"2","2",19.2,0
"1",46,3,1,3,1,"2","2",94.9,0
"1",7,3,1,1,1,"1","2",73.85,0
"1",2,3,1,1,1,"1","1",80.6,0
"1",68,3,1,1,3,"2","2",75.8,6
"1",43,3,1,3,3,"3","2",104.6,4
"1",68,3,3,3,3,"3","2",88.15,0
"1",36,1,1,3,3,"1","2",94.8,0
"1",63,3,1,3,3,"1","2",103.4,4
"2",32,1,1,1,1,"1","1",54.65,0
"1",71,3,3,3,3,"3","1",85.75,0
"1",66,3,3,1,1,"1","2",67.45,0
"1",63,1,2,2,2,"2","1",20.5,0
"1",41,1,2,2,2,"2","2",20.25,0
"2",1,3,1,1,1,"1","2",72.1,0
"1",2,1,1,3,3,"1","2",90.4,1
"1",70,1,2,2,2,"3","1",19.45,1
"1",23,2,1,3,3,"1","2",44.95,0
"2",64,1,3,1,3,"2","1",97,0
"1",37,3,3,1,1,"3","2",62.8,0
"1",17,1,1,1,1,"2","1",44.6,0
"2",7,1,1,3,3,"1","2",89.15,0
"1",4,3,1,1,1,"1","2",84.8,0
"2",21,2,3,3,1,"1","2",41.9,1
"1",10,1,1,1,3,"1","2",80.25,0
"2",16,3,3,1,1,"1","2",54.1,0
"1",64,3,1,3,3,"3","2",105.25,0
"2",27,2,3,1,1,"1","1",30.75,0
"1",42,3,3,3,3,"2","1",97.1,0
"1",5,1,2,2,2,"1","1",20.2,0
"1",41,1,1,3,3,"3","2",98.8,0
"1",58,1,1,1,1,"2","1",50.3,0
"1",47,1,2,2,2,"3","2",20.55,0
"1",18,1,1,1,1,"1","2",75.9,0
"1",5,1,1,3,3,"1","1",96.5,0
"1",23,1,3,1,3,"1","2",59.95,0
"1",1,1,2,2,2,"1","1",19.15,0
"1",71,3,1,3,3,"2","2",98.65,0
"1",72,3,3,3,3,"3","2",112.6,0
"1",33,1,2,2,2,"2","1",20.6,0
"1",2,3,1,3,1,"1","2",85.65,0
"1",24,2,3,1,1,"3","1",35.75,0
"1",56,3,1,1,3,"2","2",99.75,0
"1",37,1,1,3,3,"1","2",96.1,0
"1",43,3,1,3,3,"2","1",85.1,0
"1",1,2,1,1,1,"1","1",25.35,0
"1",25,3,1,3,3,"1","2",104.95,2
"1",61,3,3,3,3,"3","1",89.65,0
"1",17,3,1,1,1,"2","1",86.75,0
"1",41,1,1,1,1,"2","2",86.2,0
"1",1,1,1,1,1,"1","1",50.65,0
"2",72,2,3,3,3,"3","2",64.8,0
"1",1,3,1,1,3,"1","2",90.85,0
"1",48,3,1,3,3,"3","2",108.1,0
"2",11,1,2,2,2,"1","1",19.95,0
"2",55,3,1,1,1,"1","2",85.45,4
"1",42,2,3,1,3,"2","2",54.75,0
"1",44,3,1,1,3,"1","2",90.4,0
"1",1,1,1,1,1,"1","1",44,0
"1",27,3,1,3,3,"1","2",95.6,0
"2",27,3,1,3,3,"1","2",84.8,0
"2",2,1,1,1,1,"1","2",44.3,0
"1",19,1,2,2,2,"1","1",19.9,0
"2",42,3,1,3,3,"1","2",95.05,0
"1",66,3,3,3,3,"3","2",90.05,0
"2",33,3,3,3,3,"1","2",109.9,0
"1",34,1,1,1,1,"1","2",73.95,0
"2",33,2,1,3,3,"1","2",54.6,0
"1",23,1,2,2,2,"2","1",20.05,0
"1",32,1,2,2,2,"2","1",19.75,0
"1",11,1,2,2,2,"2","1",20.05,0
"1",69,3,1,3,3,"1","2",99.45,7
"1",68,1,3,1,1,"2","1",55.9,0
"1",20,1,2,2,2,"3","2",19.7,0
"1",72,1,2,2,2,"3","2",19.8,0
"1",60,3,3,3,1,"2","2",95.4,0
"2",32,1,1,3,3,"1","2",93.95,0
"1",1,1,2,2,2,"1","2",19.9,0
"1",1,1,2,2,2,"1","2",19.6,0
"2",3,3,1,1,1,"1","2",81.35,0
"1",46,3,2,2,2,"2","2",24.45,0
"1",29,3,1,1,1,"1","2",74.95,0
"1",51,3,1,1,1,"1","2",87.35,0
"2",48,1,1,1,1,"1","2",70.65,0
"1",16,1,1,1,1,"1","1",73.25,0
"1",70,3,1,1,3,"3","2",98.7,0
"1",40,3,2,2,2,"3","2",24.8,0
"1",22,1,1,1,3,"1","1",83.3,4
"2",1,1,1,1,1,"1","2",75.3,0
"1",5,3,2,2,2,"1","2",24.3,0
"1",7,1,1,1,1,"1","2",69.85,0
"1",29,3,1,1,3,"2","1",100.55,0
"1",44,3,2,2,2,"2","1",25.7,0
"1",10,2,3,1,1,"1","1",40.7,0
"2",55,3,1,1,1,"1","1",51.65,0
"2",52,3,1,3,3,"2","2",105.1,0
"1",10,3,1,1,3,"1","1",85.95,0
"1",18,3,1,1,1,"1","2",75.6,0
"1",68,3,3,1,1,"2","1",58.25,0
"1",61,1,2,2,2,"1","2",19.4,0
"1",72,2,3,3,3,"3","2",65.2,0
"1",2,1,3,1,1,"1","1",53.45,0
"1",12,1,1,1,1,"1","2",45.4,0
"1",41,1,2,2,2,"3","2",19.75,0
"1",26,2,1,3,1,"1","2",44.45,0
"1",36,1,2,2,2,"2","1",20.85,0
"1",72,3,3,3,3,"3","2",114.05,0
"1",35,3,1,1,3,"1","2",89.85,0
"1",1,1,1,1,1,"1","1",55.05,0
"1",16,3,3,3,3,"1","2",112.95,0
"2",49,3,3,3,3,"1","1",101.55,0
"1",54,3,3,3,3,"2","2",114.65,0
"1",18,3,3,1,3,"1","1",64.8,1
"1",36,1,1,1,3,"1","1",80.4,0
"1",60,3,1,3,3,"1","2",105.9,7
"1",1,1,1,1,1,"1","1",69.55,0
"1",52,3,2,2,2,"3","2",25.05,0
"1",8,1,1,3,3,"1","2",94.75,0
"1",72,1,3,3,3,"3","1",105.5,0
"1",64,3,2,2,2,"2","1",24.7,0
"2",22,1,3,1,3,"1","2",69.75,0
"1",60,2,1,3,3,"1","2",60.2,0
"1",28,1,1,1,3,"1","2",81.05,0
"1",61,3,2,2,2,"3","1",24.4,0
"1",24,3,1,3,3,"1","2",104.15,0
"1",28,1,1,3,1,"2","1",92.9,0
"1",30,1,1,3,3,"3","1",80.8,0
"1",2,1,2,2,2,"1","1",20,0
"1",1,3,1,1,1,"1","2",75.1,0
"1",6,1,2,2,2,"1","1",19.65,0
"1",24,1,1,3,3,"1","2",69.45,0
"1",4,3,1,3,3,"1","1",101.15,0
"1",7,3,1,3,3,"1","2",99.8,0
"2",72,3,3,3,3,"3","2",116.05,6
"1",70,2,1,1,3,"3","2",40.05,0
"2",64,3,1,3,3,"3","1",102.1,0
"1",72,3,1,3,1,"2","2",89.7,0
"1",44,1,2,2,2,"3","1",19.9,0
"1",13,1,1,1,3,"1","1",55.95,0
"2",17,1,2,2,2,"2","1",20.65,0
"1",1,1,1,1,3,"1","2",55,0
"1",9,1,1,3,3,"1","2",70.05,0
"1",24,1,3,1,1,"1","1",53.6,0
"1",1,1,1,1,1,"1","2",74.7,0
"1",24,3,1,1,1,"1","2",80.25,0
"2",35,1,1,3,3,"1","2",76.05,0
"1",7,1,3,3,1,"1","2",75.7,0
"1",5,1,1,3,3,"1","2",96.1,0
"1",15,1,1,1,1,"1","1",69,0
"1",11,1,2,2,2,"3","1",19.65,0
"1",48,2,3,1,3,"1","2",45.3,5
"2",20,1,1,1,3,"1","2",81.45,0
"1",72,3,1,3,3,"2","2",108.5,0
"1",8,1,1,3,1,"1","2",83.55,2
"1",72,3,1,1,3,"3","2",84.5,0
"1",15,3,1,3,3,"1","2",100.15,0
"1",72,3,1,3,3,"3","2",88.6,2
"1",1,3,1,1,1,"1","2",74.35,0
"1",63,3,1,3,3,"3","2",104.8,0
"1",2,1,1,3,1,"1","2",59,0
"1",2,1,3,1,1,"1","2",74.4,0
"2",61,3,1,1,3,"2","1",64.05,0
"1",1,1,2,2,2,"1","1",20.4,0
"1",22,2,1,1,3,"2","2",43.75,0
"1",28,1,3,1,1,"1","1",60.9,0
"1",70,1,2,2,2,"3","1",19.8,0
"2",5,2,1,1,1,"1","1",28.45,0
"1",12,3,3,1,3,"1","2",99.7,1
"1",34,3,3,3,3,"2","1",116.25,0
"2",71,3,3,1,1,"3","2",80.7,0
"1",70,3,3,1,3,"2","1",65.2,0
"1",52,1,3,1,1,"1","2",84.05,0
"1",69,3,3,3,1,"3","2",79.45,0
"2",20,3,1,1,3,"1","2",94.1,3
"1",11,3,1,1,1,"1","2",78,0
"1",2,1,1,3,3,"1","2",94.2,1
"1",6,3,1,1,1,"1","2",80.5,0
"1",1,1,2,2,2,"1","1",19.85,0
"2",20,1,3,1,3,"2","1",94.3,0
"1",61,3,3,3,3,"1","2",106.45,0
"2",5,3,1,1,1,"1","2",74.35,0
"1",56,3,1,3,3,"1","2",105.45,0
"1",30,3,3,1,1,"1","2",95,0
"1",40,3,1,3,3,"1","1",104.8,4
"1",28,1,3,1,1,"2","1",54.3,0
"2",5,1,1,1,1,"1","1",70.05,0
"2",27,1,3,1,1,"1","2",75.2,0
"1",12,1,2,2,2,"1","1",20.05,0
"1",67,3,1,3,3,"2","2",105.4,0
"2",29,3,1,1,1,"1","2",51.6,0
"1",55,3,1,1,3,"1","1",85.5,0
"1",23,3,1,1,1,"1","1",75.6,0
"1",34,3,1,3,3,"1","2",100.05,3
"1",52,1,3,3,1,"2","1",91.25,0
"2",72,3,3,3,3,"3","2",115.75,0
"1",58,3,1,3,1,"2","2",94.7,0
"1",35,1,2,2,2,"3","1",19.6,0
"2",56,3,1,3,1,"3","2",99.9,0
"1",24,1,2,2,2,"3","2",21.1,0
"1",70,1,2,2,2,"3","1",20.05,6
"1",2,1,1,3,1,"1","2",79.95,0
"2",68,3,1,3,3,"2","2",107.15,0
"1",1,3,1,1,3,"1","2",85,0
"1",12,3,1,3,1,"1","2",89.55,0
"1",63,3,1,1,1,"1","2",81.55,0
"1",33,1,3,1,1,"2","2",58.45,0
"1",69,1,1,3,3,"2","2",95.65,0
"1",60,1,1,3,3,"3","2",80.6,0
"1",72,3,3,3,3,"3","2",113.1,0
"1",11,3,1,1,3,"1","2",58.95,0
"1",1,1,2,2,2,"1","1",19.55,0
"1",10,3,1,3,1,"1","2",86.05,0
"1",13,2,3,3,1,"1","2",45.55,2
"1",34,1,1,1,3,"2","2",78.95,0
"1",39,1,1,3,1,"1","2",86.3,3
"1",65,3,1,3,3,"2","2",105.05,0
"2",50,3,3,3,1,"2","2",101.9,4
"1",15,1,2,2,2,"1","1",19.75,1
"1",72,3,3,3,3,"3","2",110.3,0
"1",72,3,3,3,3,"3","2",115.6,4
"1",55,1,2,2,2,"3","1",19.35,0
"1",23,3,2,2,2,"3","2",25.6,0
"1",32,3,1,1,1,"1","2",80.35,0
"1",56,3,3,1,3,"2","2",68.75,0
"1",1,1,2,2,2,"1","1",19.9,0
"1",38,1,3,3,1,"2","1",70.6,0
"1",11,1,1,1,1,"1","1",70.2,0
"1",1,1,1,1,1,"1","2",49.3,0
"1",56,3,1,3,3,"2","2",107.25,0
"1",3,3,2,2,2,"1","2",23.6,0
"1",7,1,3,3,3,"1","1",69.7,0
"1",59,3,1,3,3,"3","2",99.5,0
"1",7,1,1,3,1,"1","1",64.3,0
"1",71,1,3,1,3,"3","2",70.85,0
"1",15,1,3,3,3,"2","1",101.9,0
"1",71,3,3,3,1,"3","1",73.5,0
"1",35,3,1,3,3,"1","2",100.25,4
"1",11,2,1,1,1,"2","2",40.4,0
"1",60,1,2,2,2,"3","2",19.25,0
"2",47,3,1,1,1,"3","1",59.6,0
"1",11,1,1,1,3,"2","1",64.9,0
"1",56,3,1,3,3,"2","1",100.3,5
"2",28,3,1,3,3,"1","2",110.85,0
"1",61,1,3,3,3,"3","2",81.05,0
"1",31,3,3,3,1,"2","1",98.05,0
"1",9,1,1,1,1,"1","2",70.5,0
"2",35,3,3,1,3,"1","2",94.55,0
"1",2,1,2,2,2,"1","2",19.65,0
