"","SeniorCitizen","tenure","MultipleLines","OnlineSecurity","StreamingTV","StreamingMovies","Contract","PaperlessBilling","MonthlyCharges","numTechTickets","Churn"
"182","1",1,1,1,1,1,"1","1",45.3,0,1
"183","1",8,3,1,1,3,"1","1",84.5,0,0
"184","1",33,1,3,3,3,"2","1",74.75,0,1
"185","1",13,1,1,1,1,"1","2",79.25,1,0
"186","1",1,2,1,1,1,"1","2",24.8,0,0
"187","1",20,1,1,1,1,"1","2",51.8,0,1
"188","1",3,2,1,1,1,"1","1",30.4,0,1
"189","1",13,1,2,2,2,"2","1",19.65,0,1
"190","1",40,3,1,1,1,"1","1",56.6,0,1
"191","1",43,3,3,1,3,"2","2",71.9,0,1
"192","1",6,1,1,1,3,"1","2",91,0,0
"193","1",69,1,2,2,2,"3","1",19.75,0,1
"194","1",72,3,3,3,3,"3","1",109.7,0,1
"195","1",59,1,2,2,2,"3","1",19.3,0,1
"196","1",20,1,3,3,1,"1","2",96.55,0,1
"197","1",24,3,2,2,2,"3","2",24.1,0,1
"198","1",59,3,1,3,3,"1","2",111.35,0,1
"199","1",72,3,1,3,3,"3","2",112.25,0,1
"200","1",1,1,2,2,2,"1","1",20.75,0,1
"201","1",27,1,3,3,3,"2","2",101.9,0,1
"202","1",14,1,1,1,1,"1","2",80.05,0,1
"203","1",71,3,3,3,3,"3","1",105.55,0,1
"204","1",13,1,1,3,1,"1","2",78.3,0,1
"205","1",44,1,1,1,1,"1","1",68.85,0,1
"206","1",33,1,1,1,1,"2","2",79.95,0,1
"207","1",72,2,3,1,3,"3","2",55.45,0,1
"208","1",1,1,1,1,3,"1","1",79.9,0,0
"209","1",19,1,3,3,3,"1","2",106.6,1,0
"210","1",64,1,1,3,3,"2","2",102.45,0,1
"211","1",2,1,1,1,1,"1","2",46,0,0
"212","1",1,2,1,1,1,"1","1",25.25,0,1
"213","1",61,1,2,2,2,"3","1",19.75,0,1
"214","1",29,1,2,2,2,"2","1",20,0,1
"215","2",23,3,1,1,3,"1","1",86.8,0,1
"216","1",57,2,3,3,3,"1","2",58.75,1,1
"217","1",72,2,3,1,1,"3","1",45.25,0,1
"218","1",66,2,3,3,1,"3","2",56.6,0,1
"219","1",65,3,1,3,3,"3","2",84.2,0,1
"220","1",8,1,1,3,1,"1","2",80,0,1
"221","1",4,1,1,1,1,"1","2",70.15,0,0
"222","1",71,3,2,2,2,"3","1",24.75,0,1
"223","1",1,1,2,2,2,"2","2",20.2,0,1
"224","1",4,1,1,1,1,"1","1",50.05,0,0
"225","1",12,1,2,2,2,"2","2",19.35,0,1
"226","1",24,2,3,3,3,"2","2",50.6,0,1
"227","1",31,1,3,3,3,"2","2",81.15,0,1
"228","1",1,1,1,3,1,"1","1",55.2,0,0
"229","1",30,3,1,1,3,"1","2",89.9,0,1
"230","1",47,3,3,3,3,"3","2",85.3,0,1
"231","1",54,3,3,3,3,"3","2",108,0,1
"232","1",50,1,3,1,3,"1","2",93.5,0,1
"233","1",1,1,3,1,3,"1","2",84.6,1,0
"234","1",72,1,2,2,2,"3","1",20.25,0,1
"235","1",29,3,2,2,2,"1","1",25.15,0,1
"236","1",2,3,1,1,1,"1","2",54.4,0,0
"237","1",10,2,1,1,1,"3","2",29.6,0,1
"238","1",18,3,1,1,1,"1","2",73.15,0,1
"239","2",11,1,1,3,3,"1","2",95,0,0
"240","1",16,1,2,2,2,"3","1",19.75,0,1
"241","1",72,3,1,3,3,"3","1",86.6,1,1
"242","1",72,3,1,3,3,"3","1",109.2,0,1
"243","1",41,1,3,3,3,"2","2",74.7,2,1
"244","2",65,1,3,1,3,"1","1",94.4,0,1
"245","2",13,1,1,1,1,"1","2",54.8,0,1
"246","2",4,1,3,1,1,"1","1",75.35,0,1
"247","1",41,3,1,1,3,"2","1",65,0,1
"248","2",15,1,1,1,1,"1","2",74.4,0,0
"249","1",1,1,3,1,1,"1","2",48.55,0,0
"250","1",42,3,3,1,3,"2","2",99,0,1
"251","1",51,1,3,3,1,"2","2",93.5,0,1
"252","1",2,1,1,1,1,"1","1",70.4,0,0
"253","2",1,2,1,3,1,"1","1",40.2,0,0
"254","1",32,3,1,3,3,"2","1",83.7,0,1
"255","1",10,1,2,2,2,"1","2",19.85,0,1
"256","1",67,2,1,3,3,"3","2",59.55,0,1
"257","1",61,3,3,3,3,"3","1",115.1,0,1
"258","1",50,3,3,3,3,"2","1",114.35,0,1
"259","1",2,1,1,1,1,"1","2",44.6,0,0
"260","2",29,2,3,1,3,"1","2",45,0,1
"261","2",3,2,1,1,3,"1","2",41.15,0,0
"262","2",13,3,1,3,3,"1","2",106.9,1,0
"263","2",57,3,1,1,3,"1","2",89.85,0,1
"264","1",31,2,3,1,3,"3","2",49.85,0,1
"265","1",45,3,3,3,3,"2","1",113.3,0,1
"266","1",61,3,3,3,3,"3","1",88.1,0,1
"267","1",50,3,2,2,2,"3","1",24.9,0,1
"268","2",19,1,3,3,3,"1","2",105,0,1
"269","1",59,1,2,2,2,"3","1",19.35,2,0
"270","1",71,3,2,2,2,"3","2",24.25,0,1
"271","2",16,1,1,3,3,"1","2",94.45,1,0
"272","1",57,1,3,1,1,"3","2",59.75,0,1
"273","1",1,2,1,1,1,"1","1",24.8,0,0
"274","2",20,3,1,3,3,"1","1",107.05,0,1
"275","1",1,1,1,1,1,"1","1",70.6,0,0
"276","1",5,3,1,1,1,"1","2",85.4,0,0
"277","1",52,3,1,3,3,"1","2",105.05,5,0
"278","2",21,1,3,1,3,"1","2",64.95,0,1
"279","1",14,2,1,3,3,"1","2",55,0,1
"280","1",5,1,1,1,1,"1","1",50.55,0,1
"281","1",6,1,3,1,1,"1","1",55.15,0,1
"282","1",10,1,1,1,1,"1","1",51.2,0,1
"283","1",1,3,2,2,2,"1","1",25.4,0,1
"284","1",68,3,3,1,1,"1","1",54.45,0,1
"285","1",18,1,1,3,3,"1","1",95.15,2,0
"286","1",22,3,1,1,1,"2","2",76,0,1
"287","1",20,1,1,1,1,"1","2",44.35,0,1
"288","1",1,1,1,1,1,"1","1",70,0,0
"289","2",8,1,1,1,1,"1","2",74.5,0,0
"290","1",10,1,1,1,1,"1","2",44.85,0,0
"291","2",24,3,1,1,1,"1","2",76.1,0,0
"292","1",35,1,3,1,1,"2","1",61.2,0,1
"293","1",23,1,1,1,1,"2","1",86.8,0,1
"294","2",6,1,1,3,3,"1","2",89.35,0,1
"295","1",12,1,2,2,2,"1","1",19.7,0,1
"296","1",1,1,2,2,2,"1","1",20.25,0,1
"297","1",71,1,1,1,1,"3","1",76.05,0,1
"298","2",35,3,1,3,3,"1","2",100.8,0,1
"299","1",40,3,1,3,3,"1","2",74.55,0,1
"300","1",1,1,3,1,1,"1","2",73.6,0,0
"301","1",23,1,1,3,3,"2","2",64.9,0,1
"302","2",4,3,1,3,3,"1","2",95.45,0,0
"303","1",4,1,1,1,3,"1","2",90.4,0,1
"304","1",68,2,1,3,3,"3","1",60.3,1,1
"305","1",38,3,1,1,1,"1","2",81.85,0,1
"306","1",52,3,2,2,2,"3","1",24.8,0,1
"307","2",32,3,1,1,1,"1","2",74.9,0,0
"308","1",29,1,1,3,3,"3","1",75.55,0,1
"309","2",38,3,1,3,3,"1","1",101.15,2,1
"310","1",48,3,3,3,3,"2","2",78.75,0,1
"311","1",1,1,2,2,2,"1","2",19.25,0,1
"312","1",22,1,3,1,3,"1","2",89.05,0,1
"313","1",43,3,3,3,3,"3","1",115.05,0,1
"314","2",5,1,1,1,1,"1","2",69.35,0,1
"315","1",5,1,1,3,1,"1","2",80.6,0,0
"316","1",51,3,3,3,3,"2","1",110.05,0,1
"317","1",71,1,2,2,2,"3","2",19.9,0,1
"318","1",38,1,3,3,3,"2","1",80.3,3,0
"319","2",24,1,1,3,3,"1","2",93.15,2,0
"320","1",35,3,1,3,1,"1","2",91.5,0,1
"321","2",54,3,3,3,3,"2","1",82.45,5,0
"322","1",72,2,1,3,3,"3","2",60,0,1
"323","1",1,1,1,1,1,"1","2",44.8,0,1
"324","1",9,1,3,1,1,"2","1",48.6,0,1
"325","1",69,2,3,3,3,"3","2",60.05,0,1
"326","1",52,3,1,3,3,"1","2",102.7,0,1
"327","2",11,1,1,3,1,"1","2",82.9,0,1
"328","2",2,1,1,1,1,"1","2",70.35,0,0
"329","2",28,2,1,3,1,"1","2",35.9,0,1
"330","2",17,3,1,1,1,"1","2",82.65,0,1
"331","1",35,1,2,2,2,"3","2",19.85,0,1
"332","1",8,1,2,2,2,"2","2",19.2,0,1
"333","1",46,3,1,3,1,"2","2",94.9,0,1
"334","1",7,3,1,1,1,"1","2",73.85,0,0
"335","1",2,3,1,1,1,"1","1",80.6,0,0
"336","1",68,3,1,1,3,"2","2",75.8,6,0
"337","1",43,3,1,3,3,"3","2",104.6,4,0
"338","1",68,3,3,3,3,"3","2",88.15,0,1
"339","1",36,1,1,3,3,"1","2",94.8,0,1
"340","1",63,3,1,3,3,"1","2",103.4,4,0
"341","2",32,1,1,1,1,"1","1",54.65,0,1
"342","1",71,3,3,3,3,"3","1",85.75,0,1
"343","1",66,3,3,1,1,"1","2",67.45,0,1
"344","1",63,1,2,2,2,"2","1",20.5,0,1
"345","1",41,1,2,2,2,"2","2",20.25,0,1
"346","2",1,3,1,1,1,"1","2",72.1,0,1
"347","1",2,1,1,3,3,"1","2",90.4,1,0
"348","1",70,1,2,2,2,"3","1",19.45,1,1
"349","1",23,2,1,3,3,"1","2",44.95,0,1
"350","2",64,1,3,1,3,"2","1",97,0,1
"351","1",37,3,3,1,1,"3","2",62.8,0,1
"352","1",17,1,1,1,1,"2","1",44.6,0,1
"353","2",7,1,1,3,3,"1","2",89.15,0,1
"354","1",4,3,1,1,1,"1","2",84.8,0,0
"355","2",21,2,3,3,1,"1","2",41.9,1,0
"356","1",10,1,1,1,3,"1","2",80.25,0,0
"357","2",16,3,3,1,1,"1","2",54.1,0,1
"358","1",64,3,1,3,3,"3","2",105.25,0,1
"359","2",27,2,3,1,1,"1","1",30.75,0,0
"360","1",42,3,3,3,3,"2","1",97.1,0,1
"361","1",5,1,2,2,2,"1","1",20.2,0,1
"362","1",41,1,1,3,3,"3","2",98.8,0,1
"363","1",58,1,1,1,1,"2","1",50.3,0,1
"364","1",47,1,2,2,2,"3","2",20.55,0,1
"365","1",18,1,1,1,1,"1","2",75.9,0,1
"366","1",5,1,1,3,3,"1","1",96.5,0,0
"367","1",23,1,3,1,3,"1","2",59.95,0,1
"368","1",1,1,2,2,2,"1","1",19.15,0,1
"369","1",71,3,1,3,3,"2","2",98.65,0,1
"370","1",72,3,3,3,3,"3","2",112.6,0,1
"371","1",33,1,2,2,2,"2","1",20.6,0,1
"372","1",2,3,1,3,1,"1","2",85.65,0,0
"373","1",24,2,3,1,1,"3","1",35.75,0,1
"374","1",56,3,1,1,3,"2","2",99.75,0,1
"375","1",37,1,1,3,3,"1","2",96.1,0,1
"376","1",43,3,1,3,3,"2","1",85.1,0,1
"377","1",1,2,1,1,1,"1","1",25.35,0,1
"378","1",25,3,1,3,3,"1","2",104.95,2,0
"379","1",61,3,3,3,3,"3","1",89.65,0,1
"380","1",17,3,1,1,1,"2","1",86.75,0,1
"381","1",41,1,1,1,1,"2","2",86.2,0,1
"382","1",1,1,1,1,1,"1","1",50.65,0,0
"383","2",72,2,3,3,3,"3","2",64.8,0,1
"384","1",1,3,1,1,3,"1","2",90.85,0,0
"385","1",48,3,1,3,3,"3","2",108.1,0,1
"386","2",11,1,2,2,2,"1","1",19.95,0,0
"387","2",55,3,1,1,1,"1","2",85.45,4,0
"388","1",42,2,3,1,3,"2","2",54.75,0,1
"389","1",44,3,1,1,3,"1","2",90.4,0,1
"390","1",1,1,1,1,1,"1","1",44,0,1
"391","1",27,3,1,3,3,"1","2",95.6,0,1
"392","2",27,3,1,3,3,"1","2",84.8,0,1
"393","2",2,1,1,1,1,"1","2",44.3,0,1
"394","1",19,1,2,2,2,"1","1",19.9,0,1
"395","2",42,3,1,3,3,"1","2",95.05,0,1
"396","1",66,3,3,3,3,"3","2",90.05,0,1
"397","2",33,3,3,3,3,"1","2",109.9,0,1
"398","1",34,1,1,1,1,"1","2",73.95,0,0
"399","2",33,2,1,3,3,"1","2",54.6,0,1
"400","1",23,1,2,2,2,"2","1",20.05,0,1
"401","1",32,1,2,2,2,"2","1",19.75,0,1
"402","1",11,1,2,2,2,"2","1",20.05,0,1
"403","1",69,3,1,3,3,"1","2",99.45,7,0
"404","1",68,1,3,1,1,"2","1",55.9,0,1
"405","1",20,1,2,2,2,"3","2",19.7,0,1
"406","1",72,1,2,2,2,"3","2",19.8,0,1
"407","1",60,3,3,3,1,"2","2",95.4,0,1
"408","2",32,1,1,3,3,"1","2",93.95,0,1
"409","1",1,1,2,2,2,"1","2",19.9,0,0
"410","1",1,1,2,2,2,"1","2",19.6,0,0
"411","2",3,3,1,1,1,"1","2",81.35,0,0
"412","1",46,3,2,2,2,"2","2",24.45,0,1
"413","1",29,3,1,1,1,"1","2",74.95,0,1
"414","1",51,3,1,1,1,"1","2",87.35,0,1
"415","2",48,1,1,1,1,"1","2",70.65,0,1
"416","1",16,1,1,1,1,"1","1",73.25,0,1
"417","1",70,3,1,1,3,"3","2",98.7,0,1
"418","1",40,3,2,2,2,"3","2",24.8,0,1
"419","1",22,1,1,1,3,"1","1",83.3,4,0
"420","2",1,1,1,1,1,"1","2",75.3,0,0
"421","1",5,3,2,2,2,"1","2",24.3,0,1
"422","1",7,1,1,1,1,"1","2",69.85,0,1
"423","1",29,3,1,1,3,"2","1",100.55,0,1
"424","1",44,3,2,2,2,"2","1",25.7,0,1
"425","1",10,2,3,1,1,"1","1",40.7,0,1
"426","2",55,3,1,1,1,"1","1",51.65,0,1
"427","2",52,3,1,3,3,"2","2",105.1,0,1
"428","1",10,3,1,1,3,"1","1",85.95,0,1
"429","1",18,3,1,1,1,"1","2",75.6,0,1
"430","1",68,3,3,1,1,"2","1",58.25,0,1
"431","1",61,1,2,2,2,"1","2",19.4,0,0
"432","1",72,2,3,3,3,"3","2",65.2,0,1
"433","1",2,1,3,1,1,"1","1",53.45,0,1
"434","1",12,1,1,1,1,"1","2",45.4,0,0
"435","1",41,1,2,2,2,"3","2",19.75,0,1
"436","1",26,2,1,3,1,"1","2",44.45,0,1
"437","1",36,1,2,2,2,"2","1",20.85,0,1
"438","1",72,3,3,3,3,"3","2",114.05,0,1
"439","1",35,3,1,1,3,"1","2",89.85,0,1
"440","1",1,1,1,1,1,"1","1",55.05,0,1
"441","1",16,3,3,3,3,"1","2",112.95,0,1
"442","2",49,3,3,3,3,"1","1",101.55,0,1
"443","1",54,3,3,3,3,"2","2",114.65,0,1
"444","1",18,3,3,1,3,"1","1",64.8,1,1
"445","1",36,1,1,1,3,"1","1",80.4,0,1
"446","1",60,3,1,3,3,"1","2",105.9,7,0
"447","1",1,1,1,1,1,"1","1",69.55,0,0
"448","1",52,3,2,2,2,"3","2",25.05,0,1
"449","1",8,1,1,3,3,"1","2",94.75,0,1
"450","1",72,1,3,3,3,"3","1",105.5,0,1
"451","1",64,3,2,2,2,"2","1",24.7,0,1
"452","2",22,1,3,1,3,"1","2",69.75,0,1
"453","1",60,2,1,3,3,"1","2",60.2,0,1
"454","1",28,1,1,1,3,"1","2",81.05,0,0
"455","1",61,3,2,2,2,"3","1",24.4,0,1
"456","1",24,3,1,3,3,"1","2",104.15,0,1
"457","1",28,1,1,3,1,"2","1",92.9,0,1
"458","1",30,1,1,3,3,"3","1",80.8,0,1
"459","1",2,1,2,2,2,"1","1",20,0,1
"460","1",1,3,1,1,1,"1","2",75.1,0,1
"461","1",6,1,2,2,2,"1","1",19.65,0,1
"462","1",24,1,1,3,3,"1","2",69.45,0,1
"463","1",4,3,1,3,3,"1","1",101.15,0,0
"464","1",7,3,1,3,3,"1","2",99.8,0,0
"465","2",72,3,3,3,3,"3","2",116.05,6,1
"466","1",70,2,1,1,3,"3","2",40.05,0,1
"467","2",64,3,1,3,3,"3","1",102.1,0,1
"468","1",72,3,1,3,1,"2","2",89.7,0,1
"469","1",44,1,2,2,2,"3","1",19.9,0,1
"470","1",13,1,1,1,3,"1","1",55.95,0,0
"471","2",17,1,2,2,2,"2","1",20.65,0,1
"472","1",1,1,1,1,3,"1","2",55,0,0
"473","1",9,1,1,3,3,"1","2",70.05,0,1
"474","1",24,1,3,1,1,"1","1",53.6,0,1
"475","1",1,1,1,1,1,"1","2",74.7,0,0
"476","1",24,3,1,1,1,"1","2",80.25,0,0
"477","2",35,1,1,3,3,"1","2",76.05,0,1
"478","1",7,1,3,3,1,"1","2",75.7,0,1
"479","1",5,1,1,3,3,"1","2",96.1,0,0
"480","1",15,1,1,1,1,"1","1",69,0,0
"481","1",11,1,2,2,2,"3","1",19.65,0,1
"482","1",48,2,3,1,3,"1","2",45.3,5,0
"483","2",20,1,1,1,3,"1","2",81.45,0,1
"484","1",72,3,1,3,3,"2","2",108.5,0,1
"485","1",8,1,1,3,1,"1","2",83.55,2,0
"486","1",72,3,1,1,3,"3","2",84.5,0,1
"487","1",15,3,1,3,3,"1","2",100.15,0,1
"488","1",72,3,1,3,3,"3","2",88.6,2,1
"489","1",1,3,1,1,1,"1","2",74.35,0,0
"490","1",63,3,1,3,3,"3","2",104.8,0,1
"491","1",2,1,1,3,1,"1","2",59,0,1
"492","1",2,1,3,1,1,"1","2",74.4,0,0
"493","2",61,3,1,1,3,"2","1",64.05,0,1
"494","1",1,1,2,2,2,"1","1",20.4,0,1
"495","1",22,2,1,1,3,"2","2",43.75,0,0
"496","1",28,1,3,1,1,"1","1",60.9,0,1
